2017-03-30 8:02:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52734], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2225], Nr automatu: [5112]
2017-03-30 8:02:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52735], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2330], Nr automatu: [5233]
2017-03-30 8:02:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52737], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2609], Nr automatu: [5261]
2017-03-30 8:02:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52738], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3002], Nr automatu: [5283]
2017-03-30 8:02:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52740], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3111], Nr automatu: [5782]
2017-03-30 8:02:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52741], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3114], Nr automatu: [5787]
2017-03-30 8:02:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52742], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3116], Nr automatu: [5791]
2017-03-30 8:02:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52744], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3128], Nr automatu: [5815]
2017-03-30 8:02:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52736], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2475], Nr automatu: [5265]
2017-03-30 8:02:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52739], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3002], Nr automatu: [5283]
2017-03-30 8:02:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52743], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3116], Nr automatu: [5791]
2017-03-30 8:03:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52704], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2564], Nr automatu: [5250]
2017-03-30 8:03:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52705], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3202], Nr automatu: [5080]
2017-03-30 8:03:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52707], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7338], Nr automatu: [5444]
2017-03-30 8:03:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52708], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8078], Nr automatu: [5637]
2017-03-30 8:03:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52709], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8310], Nr automatu: [5517]
2017-03-30 8:03:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52710], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8341], Nr automatu: [5548]
2017-03-30 8:17:37 - [INFO] --> Logowanie użytkownika: [tkarabiniewicz]
2017-03-30 8:18:22 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/712/2017], ID dokumentu: [3730], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [Nagrzewnica], ID urządzenia: [28], Ilość: [1]
2017-03-30 8:47:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52732], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2483], Nr automatu: [5034]
2017-03-30 8:54:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [52706], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7020], Nr automatu: [5588]
