2017-02-06 8:29:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26470], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5611], Nr automatu: [5149]
2017-02-06 8:29:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26477], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7338], Nr automatu: [5444]
2017-02-06 8:29:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26478], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7352], Nr automatu: [5458]
2017-02-06 8:29:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26472], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7319], Nr automatu: [5425]
2017-02-06 8:29:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26479], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8056], Nr automatu: [5615]
2017-02-06 8:29:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26460], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4005], Nr automatu: [5738]
2017-02-06 8:29:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26480], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8081], Nr automatu: [5640]
2017-02-06 8:29:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26468], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5441], Nr automatu: [5753]
2017-02-06 8:29:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26481], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8095], Nr automatu: [5654]
2017-02-06 8:29:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26475], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7328], Nr automatu: [5434]
2017-02-06 8:30:13 - [INFO] --> Logowanie użytkownika: [lmazurowski]
2017-02-06 8:37:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26473], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3112], Nr automatu: [5784]
2017-02-06 8:37:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26464], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2278], Nr automatu: [5222]
2017-02-06 8:37:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26474], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3123], Nr automatu: [5806]
2017-02-06 8:37:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26465], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2288], Nr automatu: [5157]
2017-02-06 8:37:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26476], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4410], Nr automatu: [5082]
