2017-07-27 7:08:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [115700], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4407], Nr automatu: [5003]
2017-07-27 7:08:22 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [115702], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2512], Nr automatu: [5059]
2017-07-27 7:08:22 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [115703], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2807], Nr automatu: [5472]
2017-07-27 7:08:22 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [115704], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2711], Nr automatu: [5276]
2017-07-27 7:08:22 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [115706], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3102], Nr automatu: [5764]
2017-07-27 7:08:22 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [115707], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3108], Nr automatu: [5776]
2017-07-27 7:08:22 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [115708], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3111], Nr automatu: [5781]
2017-07-27 7:08:22 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [115710], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3123], Nr automatu: [5806]
2017-07-27 7:08:22 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [115711], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3125], Nr automatu: [5810]
2017-07-27 7:08:40 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [115705], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2711], Nr automatu: [5276]
2017-07-27 7:08:40 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [115714], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3125], Nr automatu: [5810]
2017-07-27 7:10:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [115735], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2251], Nr automatu: [5134]
2017-07-27 7:10:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [115736], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2400], Nr automatu: [5355]
2017-07-27 7:10:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [115737], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2447], Nr automatu: [5180]
2017-07-27 7:10:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [115740], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8060], Nr automatu: [5619]
2017-07-27 7:10:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [115741], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8106], Nr automatu: [5665]
2017-07-27 7:13:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [110337], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [589]
