2017-07-24 8:01:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113011], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8124], Nr automatu: [5682]
2017-07-24 8:01:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113012], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8112], Nr automatu: [5671]
2017-07-24 8:01:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113013], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7021], Nr automatu: [5589]
2017-07-24 8:01:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113014], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2331], Nr automatu: [5302]
2017-07-24 8:01:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113015], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2279], Nr automatu: [5223]
2017-07-24 8:01:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113016], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2287], Nr automatu: [5156]
2017-07-24 8:01:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113017], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2298], Nr automatu: [5165]
2017-07-24 8:01:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113018], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2299], Nr automatu: [5166]
2017-07-24 8:01:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113019], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2363], Nr automatu: [5328]
2017-07-24 8:01:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113020], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2460], Nr automatu: [5191]
2017-07-24 8:01:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113022], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2483], Nr automatu: [5034]
2017-07-24 8:01:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113024], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2541], Nr automatu: [5192]
2017-07-24 8:01:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [113484], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2256], Nr automatu: [5010]
