2016-11-29 10:05:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5022], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8105], Nr automatu: [5664]
2016-11-29 10:05:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5016], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2482], Nr automatu: [5033]
2016-11-29 10:05:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5017], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2543], Nr automatu: [5202]
2016-11-29 10:05:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5018], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7020], Nr automatu: [5588]
2016-11-29 10:05:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5012], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2256], Nr automatu: [5010]
2016-11-29 10:05:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5019], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7332], Nr automatu: [5438]
2016-11-29 10:05:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5013], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2291], Nr automatu: [5160]
2016-11-29 10:05:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5020], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7343], Nr automatu: [5449]
2016-11-29 10:05:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5014], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2309], Nr automatu: [5174]
2016-11-29 10:05:02 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5021], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8069], Nr automatu: [5628]
2016-11-29 10:05:02 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5015], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2419], Nr automatu: [5022]
2016-11-29 10:12:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [4963], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3118], Nr automatu: [5796]
2016-11-29 10:12:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [4957], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2276], Nr automatu: [5220]
2016-11-29 10:12:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [4964], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3124], Nr automatu: [5807]
2016-11-29 10:12:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [4958], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2314], Nr automatu: [5301]
2016-11-29 10:12:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [4965], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3126], Nr automatu: [5812]
2016-11-29 10:12:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [4959], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2806], Nr automatu: [5470]
2016-11-29 10:12:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [4966], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3129], Nr automatu: [5817]
2016-11-29 10:12:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [4960], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2712], Nr automatu: [5277]
2016-11-29 10:12:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [4967], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4622], Nr automatu: [5555]
2016-11-29 10:12:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [4961], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3107], Nr automatu: [5774]
2016-11-29 10:12:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [4962], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3113], Nr automatu: [5786]
2016-11-29 10:13:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [4969], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4614], Nr automatu: [5465]
2016-11-29 10:13:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [4970], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4622], Nr automatu: [5555]
