2017-02-11 11:12:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29050], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5411], Nr automatu: [5748]
2017-02-11 11:12:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29051], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7338], Nr automatu: [5444]
2017-02-11 11:12:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29052], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7029], Nr automatu: [5597]
2017-02-11 11:12:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29053], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8075], Nr automatu: [5634]
2017-02-11 11:12:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29054], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8304], Nr automatu: [5511]
2017-02-11 11:12:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29055], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8324], Nr automatu: [5531]
2017-02-11 11:56:14 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-02-11 11:56:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28981], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [536]
2017-02-11 11:59:22 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29043], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2437], Nr automatu: [5096]
2017-02-11 11:59:22 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29044], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2500], Nr automatu: [5049]
2017-02-11 11:59:22 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29045], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2536], Nr automatu: [5077]
2017-02-11 11:59:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29046], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2561], Nr automatu: [5246]
2017-02-11 11:59:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29047], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2805], Nr automatu: [5469]
2017-02-11 11:59:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29048], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2718], Nr automatu: [5728]
2017-02-11 11:59:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29049], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2719], Nr automatu: [5132]
2017-02-11 11:59:46 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29041], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2726], Nr automatu: [5830]
