2017-05-08 7:16:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70908], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5404], Nr automatu: [5734]
2017-05-08 7:16:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70909], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5422], Nr automatu: [5711]
2017-05-08 7:16:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70910], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5445], Nr automatu: [5562]
2017-05-08 7:16:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70911], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8330], Nr automatu: [5537]
2017-05-08 7:16:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70905], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5405], Nr automatu: [5740]
2017-05-08 7:16:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70906], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5419], Nr automatu: [5244]
2017-05-08 7:16:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70907], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5610], Nr automatu: [5564]
2017-05-08 7:25:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70890], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4411], Nr automatu: [5103]
2017-05-08 7:25:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70891], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4402], Nr automatu: [5360]
2017-05-08 7:25:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70892], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3124], Nr automatu: [5808]
2017-05-08 7:25:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70893], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3001], Nr automatu: [5282]
2017-05-08 7:25:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70894], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2723], Nr automatu: [5827]
2017-05-08 7:25:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70895], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2706], Nr automatu: [5271]
2017-05-08 7:25:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70896], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2447], Nr automatu: [5180]
2017-05-08 7:25:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70897], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2308], Nr automatu: [5173]
2017-05-08 7:25:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70898], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2209], Nr automatu: [5002]
2017-05-08 7:25:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70899], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2206], Nr automatu: [5101]
2017-05-08 7:25:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70900], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2500], Nr automatu: [5049]
2017-05-08 7:25:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70901], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2331], Nr automatu: [5302]
2017-05-08 7:25:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70889], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4402], Nr automatu: [5360]
